-0.4841977,-0.1668022,2.244638
-0.5118178,-0.1191375,2.219385
-0.6492391,0.1216108,2.106089
-0.6672308,0.2963798,2.059735
-0.738644,-0.006071442,2.085522
-0.7163479,-0.230737,2.139757
-0.4373279,-0.2637717,2.192155
-0.3739131,-0.2628819,2.199936
-0.4666051,0.1485968,2.155738
-0.3068269,0.08986459,2.328376
-0.2549751,-0.1122406,2.27231
-0.1984378,-0.1071897,2.261468
-0.5082523,-0.2622564,2.243699
-0.7976514,-0.5029247,2.272072
-0.8561626,-0.7653103,2.20211
-0.8188503,-0.8600054,2.23555
-0.3960473,-0.1925674,2.296582
-0.209367,-0.5217974,2.273858
-0.1391613,-0.8019544,2.216759
-0.1749958,-0.8961309,2.237775
